广东频道,#genre#
CCTV-15音乐,http://192.168.68.123:8848/rtp/239.77.1.239:5146

CCTV-16奥林匹克,http://192.168.68.123:8848/rtp/239.77.0.165:5146
CCTV-16奥林匹克4K_标,http://192.168.68.123:8848/rtp/239.77.1.98:5146
CCTV-16奥林匹克,http://192.168.68.123:8848/rtp/239.77.1.76:5146

CCTV-17农业农村,http://192.168.68.123:8848/rtp/239.77.1.121:5146
CCTV-17农业农村,http://192.168.68.123:8848/rtp/239.77.0.198:5146

CGTN,http://192.168.68.123:8848/rtp/239.77.0.199:5146
CGTN ESPAÑOL,http://192.168.68.123:8848/rtp/239.77.0.221:5146
CGTN FRANÇAIS,http://192.168.68.123:8848/rtp/239.77.0.228:5146
CGTN العربية,http://192.168.68.123:8848/rtp/239.253.43.200:5146
CGTN РУССКИЙ,http://192.168.68.123:8848/rtp/239.253.43.201:5146

央视娱乐频道,#genre#

CCTV-8K超高清,http://192.168.68.123:8848/rtp/239.253.43.106:5146
CCTV-4K超高清,http://192.168.68.123:8848/rtp/239.77.0.194:5146
CCTV-4K超高清,http://192.168.68.123:8848/rtp/239.77.0.174:5146
4K极清体验_标,http://192.168.68.123:8848/rtp/239.77.1.172:5146
4k测试频道8,http://192.168.68.123:8848/rtp/239.77.0.249:5146
精选4k频道3,http://192.168.68.123:8848/rtp/239.77.0.153:5146

CHC高清电影,http://192.168.68.123:8848/rtp/239.77.0.27:5146

CCTV兵器科技,http://192.168.68.123:8848/rtp/239.253.43.18:5146
CCTV兵器科技,http://192.168.68.123:8848/rtp/239.253.43.9:5146

CCTV电视指南,http://192.168.68.123:8848/rtp/239.253.43.19:5146
CCTV电视指南,http://192.168.68.123:8848/rtp/239.253.43.10:5146

CCTV风云足球,http://192.168.68.123:8848/rtp/239.253.43.20:5146
CCTV风云足球,http://192.168.68.123:8848/rtp/239.253.43.14:5146

CCTV央视台球,http://192.168.68.123:8848/rtp/239.253.43.21:5146
CCTV央视台球,http://192.168.68.123:8848/rtp/239.253.43.11:5146

CCTV高尔夫·网球,http://192.168.68.123:8848/rtp/239.253.43.22:5146
CCTV高尔夫·网球,http://192.168.68.123:8848/rtp/239.253.43.12:5146

CCTV女性时尚,http://192.168.68.123:8848/rtp/239.253.43.23:5146
CCTV女性时尚,http://192.168.68.123:8848/rtp/239.253.43.8:5146

CCTV世界地理,http://192.168.68.123:8848/rtp/239.253.43.24:5146
CCTV世界地理,http://192.168.68.123:8848/rtp/239.253.43.7:5146

CCTV怀旧剧场,http://192.168.68.123:8848/rtp/239.253.43.25:5146
CCTV怀旧剧场,http://192.168.68.123:8848/rtp/239.253.43.5:5146

CCTV风云剧场,http://192.168.68.123:8848/rtp/239.253.43.26:5146
